id,Residential,Workplace,Transit,Park,Grocery,Retail,School closing,Workplace closing,Concel public events,Restrictions on gathering size,Closing public transport,Stay at home requirement,Restrictions on internal movements,International travel controls
252,-19.1612903,35.0322581,40.3870968,53.3548387,17.1612903,39.4516129,100,66.66666667,100,100,0,66.66666667,30.64516129,36.29032258
253,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,0,-0.4,-1.7333333,-0.8666667,0,-0.8,0,0,0,0,0,0,0,0
255,-19.2903226,35.3548387,42.6774194,39.0967742,26.1935484,42.483871,64.51612903,51.61290323,64.51612903,59.67741935,27.41935484,51.61290323,56.4516129,63.70967742
256,-37.9666667,73.8,84.2333333,75.3666667,64.4666667,83.3666667,100,100,100,100,50,100,100,100
257,-34.0967742,64.7419355,75.3548387,66.0967742,57.8709677,82.5483871,100,66.66666667,100,100,94.35483871,77.41935484,100,100
258,-28.9,53.5666667,64.0666667,53.4,43.5666667,73.4333333,100,66.66666667,100,100,75,66.66666667,100,100
259,-23.8064516,44.0967742,55.3548387,42.3225806,31,56.4193548,83.33333333,50,100,100,37.90322581,50,83.06451613,100
260,-22.7741935,42.5806452,56.1290323,43.483871,33.5806452,53.2258065,83.33333333,60.75268817,100,100,75,60.75268817,75,100
261,-21.4,38.9333333,53,40.9333333,31.1333333,50.2666667,83.33333333,66.66666667,100,100,75,66.66666667,75,100
262,-17.6774194,31.0322581,44.8387097,35.9032258,23.1290323,44.7419355,83.33333333,66.66666667,100,100,66.93548387,66.66666667,66.93548387,75
263,-16.2,26.2,42.0666667,32.8666667,20.7,39.4,60,51.11111111,100,88.33333333,36.66666667,66.66666667,73.33333333,63.33333333
264,-14.3225806,24.6774194,35.483871,26.6774194,9.516129,30.6774194,45.16129032,45.16129032,82.25806452,83.87096774,50,66.66666667,64.51612903,50
265,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,-0.3333333,2.6666667,0.2666667,-8.3333333,-1.0666667,-2.2666667,0,0,0,0,0,0,0,0
267,-10.4516129,20.9677419,30.7741935,26.2580645,15.516129,29.4516129,51.61290323,51.07526882,64.51612903,40.32258065,0,40.86021505,61.29032258,59.67741935
268,-20.1666667,47.4333333,61.8666667,52.8333333,39.9333333,61.2333333,100,100,100,75,0,66.66666667,100,100
269,-16.2580645,31.2580645,51.7096774,45.0967742,32.3870968,51.2903226,100,100,100,90.32258065,0,66.66666667,100,100
270,-14.3333333,22.9333333,43.3666667,35.2666667,19.9,37.3666667,100,72.77777778,100,100,44.16666667,53.88888889,59.16666667,100
271,-16.2258065,24.7741935,45.7741935,35.5806452,18.4193548,37.4516129,100,83.33333333,100,100,58.87096774,55.37634409,83.06451613,100
272,-15.6129032,23.1290323,43.7096774,35.2903226,19.1935484,37.9032258,100,73.65591398,100,100,25,66.66666667,100,100
273,-16.8666667,24.4333333,37.2666667,33.9666667,18.5,38.5666667,100,55,100,100,25,66.66666667,100,100
274,-13.3225806,20.0645161,30.1290323,29.3225806,6.8387097,33.5806452,100,84.94623656,100,100,25,66.66666667,100,100
275,-12.6666667,12.7333333,19.1,24.6333333,-0.5333333,24.7666667,100,83.33333333,100,100,25,66.66666667,100,100
276,-11.3225806,11.6451613,1.8387097,8.7096774,-12.7741935,14.1612903,100,81.72043011,100,100,25,66.66666667,100,100
